"","V1","V2","V3"
"fd_mean",1,1.11066308949956,0.00577110831322672
"",2,1.11059356695673,0.00581559425542991
"",3,1.11055042806306,0.00585695311591517
"",4,1.11049890137886,0.00578074441419042
"",5,1.11034286054064,0.00602145390596103
"",6,1.11042242310053,0.005901209452963
"",7,1.1104463284629,0.00581783646464272
"",8,1.11062627677438,0.00588133972454733
"",9,1.1108741361494,0.00589198963249495
"",10,1.11070334497013,0.0057266507359594
"",11,1.11089313532901,0.006014514287332
"",12,1.11105734671026,0.0058313878502608
"",13,1.11094321362082,0.00588738125221555
"",14,1.11096944804483,0.00581264163738399
"",15,1.11105611892261,0.00584963414439616
"",16,1.11089663046348,0.00584574522068866
"",17,1.11112232418375,0.00588904297074468
"",18,1.11091044578775,0.00599008954577444
"",19,1.11118017691162,0.00586141474574306
"",20,1.11121943747825,0.00587939044442886
"",21,1.11126433896422,0.00579047486504163
"",22,1.11135475212046,0.00586730195192143
"",23,1.11119577344922,0.00586010999064256
"",24,1.11148159958025,0.00591110225036931
"",25,1.11105121528404,0.00579046922828359
"",26,1.11113570867694,0.00601543165214151
"",27,1.11118779041624,0.00596684965867133
"",28,1.11096698827828,0.00592148824857257
"",29,1.11125377649824,0.00577658934297892
"",30,1.11115009558061,0.00579297263602406
"",31,1.11109476285198,0.00585535757909812
"",32,1.11104197794453,0.00592429301084959
"",33,1.11128952418986,0.00580291563196358
"",34,1.11143393403842,0.00600154059355596
"",35,1.11130794664257,0.00581014816403152
"",36,1.11122624864885,0.00580711238252169
"",37,1.11127587098262,0.0058553175391176
"",38,1.11117974849466,0.00581042710143366
"",39,1.11126507909411,0.00605840035339872
"",40,1.11131168497944,0.00584834019651483
"",41,1.11117232341531,0.00587679197406106
"",42,1.11132447908284,0.0060017674990385
"",43,1.11177248236379,0.0058709133269279
"",44,1.11186369769761,0.00600439112293736
"",45,1.11204454417657,0.00585029339704685
"",46,1.11196540003626,0.00578190203483176
"",47,1.11203004071914,0.00584375535800307
"",48,1.1121512046686,0.0058163258308963
"",49,NA,NA
"",50,NA,NA
"",51,NA,NA
"",52,NA,NA
"",53,NA,NA
"",54,NA,NA
"",55,NA,NA
"",56,NA,NA
"",57,NA,NA
"",58,NA,NA
"",59,NA,NA
"",60,NA,NA
"",61,NA,NA
"",62,NA,NA
"",63,NA,NA
"",64,NA,NA
"",65,NA,NA
"",66,NA,NA
"",67,NA,NA
"",68,NA,NA
"",69,NA,NA
"",70,NA,NA
"",71,NA,NA
"",72,NA,NA
"",73,NA,NA
"",74,NA,NA
"",75,NA,NA
"",76,NA,NA
"",77,NA,NA
"",78,NA,NA
"",79,NA,NA
"",80,NA,NA
"",81,NA,NA
"",82,NA,NA
"",83,NA,NA
"",84,NA,NA
"",85,NA,NA
"",86,NA,NA
"",87,NA,NA
"",88,NA,NA
"",89,NA,NA
"",90,NA,NA
"",91,NA,NA
"",92,NA,NA
"",93,NA,NA
"",94,NA,NA
"",95,NA,NA
"",96,NA,NA
"",97,NA,NA
"",98,NA,NA
"",99,NA,NA
"",100,NA,NA
"",101,NA,NA
"",102,NA,NA
"",103,NA,NA
"",104,NA,NA
"",105,NA,NA
"",106,NA,NA
"",107,NA,NA
"",108,NA,NA
"",109,NA,NA
"",110,NA,NA
"",111,NA,NA
"",112,NA,NA
"",113,NA,NA
"",114,NA,NA
"",115,NA,NA
"",116,NA,NA
"",117,NA,NA
"",118,NA,NA
"",119,NA,NA
"",120,NA,NA
